id1	id2	close-friends?	inlab-proximity	outlab-proximity
2	27	0	2.0	1.0
2	28	0	0.5	0.5
2	40	0	1.0	2.5
2	53	0	1.0	0.5
2	56	0	2.0	0.5
2	58	0	3.5	0.0
2	60	0	1.0	0.0
2	68	0	1.5	0.5
2	75	0	0.0	0.5
2	76	1.0	3.0	4.0
2	77	0	0.5	0.5
2	79	0	0.5	0.5
2	81	0	0.5	0.0
2	85	0	2.5	0.0
2	86	0	1.5	1.0
2	88	0	0.5	0.0
3	5	0	1.5	0.0
3	8	0	1.5	1.0
3	17	0	1.5	0.5
3	23	0	1.5	0.0
3	56	1.0	1.5	0.0
3	68	0	0.5	0.5
3	71	0	0.0	1.0
3	74	1.0	0.0	2.0
3	81	0	1.0	0.0
3	87	0	0.5	0.5
4	5	0	2.5	0.0
4	8	0	1.0	0.5
4	12	0	0.5	0.0
4	17	1.0	2.5	2.5
4	23	0	1.5	0.0
4	36	0	0.0	0.5
4	46	0	2.0	0.0
4	62	0	1.0	1.0
4	67	0	1.5	0.0
4	68	0	0.5	0.0
4	74	1.0	0.0	1.0
4	85	0	1.0	0.0
4	87	0	1.0	0.5
5	6	0	1.5	0.0
5	7	0	0.5	0.0
5	10	0	0.5	0.0
5	12	0	1.5	0.0
5	17	0	5.0	0.0
5	18	0	1.0	0.0
5	20	0	0.5	0.0
5	22	0	0.5	0.0
5	23	0	3.5	0.0
5	24	0	1.0	0.0
5	32	0	2.0	0.0
5	46	0	4.5	0.0
5	52	0	1.0	0.0
5	53	0	0.5	0.0
5	68	0	1.5	0.5
5	74	0	0.0	1.5
5	75	0	0.5	0.0
5	79	0	0.5	0.0
5	81	0	1.0	0.0
5	85	0	1.0	0.0
5	87	0	0.5	0.0
6	8	1.0	2.5	0.5
6	10	1.0	5.0	5.0
6	14	0	1.0	0.0
6	16	0	1.0	0.5
6	20	1.0	2.0	1.5
6	22	0	1.5	0.0
6	23	0	2.5	0.0
6	27	0	3.5	1.0
6	28	0	0.5	0.0
6	29	0	1.0	0.0
6	46	0	1.0	0.0
6	53	0	2.0	0.0
6	56	1.0	3.0	1.0
6	68	0	3.5	0.5
6	75	0	0.5	0.0
6	76	0	2.0	0.5
6	77	0	0.5	0.0
6	86	0	1.5	0.0
6	87	0	0.5	0.0
6	88	0	1.0	0.0
7	12	0	1.0	0.0
7	56	0	1.0	0.0
7	72	0	2.5	1.0
7	88	0	0.5	0.0
8	10	0	3.5	1.0
8	14	0	2.0	0.0
8	17	0	3.0	1.0
8	19	0	1.0	0.0
8	20	0	2.5	0.0
8	23	0	1.0	0.0
8	27	0	4.0	1.0
8	40	0	1.5	2.5
8	56	0	3.0	0.0
8	58	0	1.5	0.5
8	60	0	2.5	0.0
8	67	0	3.5	0.0
8	68	0	2.0	1.0
8	76	1.0	1.5	0.5
8	79	0	1.0	0.5
8	81	0	0.5	0.0
8	84	0	0.5	0.0
8	85	0	0.5	0.0
8	86	0	2.0	0.5
8	89	1.0	2.5	2.5
9	33	0	1.0	0.0
9	35	1.0	4.0	3.5
9	37	0	1.5	0.0
9	41	0	1.5	0.0
9	43	0	1.5	0.0
9	44	0	0.5	0.0
9	47	1.0	5.0	3.5
9	51	0	0.5	0.0
9	59	0	3.5	1.5
9	65	0	0.5	0.0
9	66	0	2.5	1.0
9	78	0	0.5	0.0
9	82	0	2.5	0.5
10	11	0	0.5	0.0
10	12	0	1.0	0.0
10	15	0	2.0	0.0
10	16	0	1.0	0.5
10	18	0	2.0	0.0
10	20	1.0	4.0	3.5
10	21	0	1.0	1.0
10	22	0	1.0	0.0
10	27	0	3.5	1.0
10	28	0	1.0	0.0
10	46	0	1.0	0.0
10	53	0	2.0	0.0
10	56	0	1.5	0.0
10	67	0	3.0	0.0
10	68	0	1.0	0.0
10	76	0	2.0	1.0
10	79	0	0.5	0.0
10	81	0	0.5	0.0
10	86	0	1.0	0.0
10	88	0	0.5	0.0
11	13	0	4.5	0.0
11	14	0	1.0	0.0
11	16	0	0.5	0.0
11	18	0	1.5	0.0
11	19	0	1.0	0.0
11	20	0	1.0	0.0
11	27	0	0.5	0.0
11	32	0	4.0	0.0
11	75	0	0.0	1.0
11	79	0	1.0	0.0
11	81	0	2.0	0.0
11	84	0	1.0	0.0
11	85	0	2.0	0.0
11	88	0	1.0	0.0
12	14	0	1.0	0.0
12	19	0	0.5	0.0
12	20	0	1.0	0.5
12	23	0	1.0	0.0
12	27	0	0.5	0.0
12	40	0	0.5	0.0
12	52	0	0.5	0.0
12	53	1.0	2.0	1.0
12	58	0	0.5	0.0
12	68	0	0.5	0.0
12	72	0	1.5	0.0
12	75	0	1.0	0.0
12	77	0	0.5	0.0
12	79	0	0.5	0.0
12	84	0	1.5	0.0
12	86	0	1.0	0.0
12	88	0	1.5	0.0
13	14	0	3.5	1.0
13	20	0	1.0	0.0
13	27	0	1.0	0.0
13	32	0	3.5	0.0
13	67	0	1.5	0.0
13	85	0	2.0	0.0
14	15	0	3.0	1.0
14	19	0	4.5	0.0
14	29	0	1.0	0.5
14	39	0	1.5	0.0
14	84	0	1.5	0.0
14	85	0	0.5	0.0
15	19	0	3.0	1.0
15	28	0	3.0	1.0
15	53	0	1.0	0.0
15	56	0	1.5	0.0
15	60	0	2.5	0.0
15	77	0	1.5	1.0
15	85	0	0.5	0.0
15	88	0	1.5	0.0
16	28	1.0	5.0	2.0
16	45	0	2.5	0.0
16	54	0	1.0	0.0
16	75	0	1.0	1.0
17	20	0	1.5	0.0
17	23	0	1.0	0.0
17	29	0	1.5	0.0
17	46	1.0	5.0	1.0
17	53	0	3.0	0.0
17	67	0	2.0	0.0
17	68	0	0.5	0.0
17	87	0	2.0	0.0
18	19	0	1.0	0.0
18	23	0	2.0	0.0
18	27	0	0.5	0.0
18	28	0	1.0	0.0
18	46	0	2.0	0.0
18	49	1.0	3.5	3.0
18	52	0	0.5	0.0
18	73	0	2.0	0.0
18	74	0	0.5	0.0
18	79	0	1.5	0.0
18	81	1.0	3.5	2.5
18	82	1.0	1.5	2.5
18	87	0	0.5	0.0
18	88	0	0.5	0.0
19	28	0	3.0	0.0
19	56	0	1.0	0.0
19	60	0	2.5	0.0
19	72	0	0.5	0.0
19	84	0	2.0	0.0
20	21	0	1.5	0.0
20	22	0	0.5	0.0
20	27	0	2.0	0.0
20	32	0	3.0	0.0
20	46	0	3.5	0.0
20	67	0	1.5	0.0
20	76	0	2.0	0.0
20	79	0	2.0	0.0
20	86	0	1.0	0.0
21	79	0	0.5	0.0
21	81	0	1.0	0.5
22	23	0	1.0	0.0
22	52	1.0	0.5	0.5
22	56	1.0	1.0	0.0
22	68	0	1.0	0.5
22	75	0	0.5	0.0
22	76	0	0.5	0.0
22	86	0	0.0	0.5
22	87	0	0.5	0.5
22	88	0	0.5	0.5
23	46	0	3.0	0.0
23	52	1.0	2.5	2.0
23	56	0	2.0	0.0
23	68	0	0.5	0.5
23	74	0	0.0	0.5
23	81	0	0.5	0.0
24	73	0	0.5	0.5
24	87	0	2.0	0.0
25	80	0	0.0	0.5
25	85	1.0	0.0	1.5
26	31	0	0.0	1.0
26	64	0	0.0	1.0
27	53	0	3.0	0.0
27	58	0	0.5	0.0
27	60	0	1.0	0.0
27	67	0	3.0	0.0
27	68	0	0.5	0.0
27	79	0	1.5	0.0
27	81	0	0.5	0.0
28	56	1.0	2.5	0.0
28	60	0	2.5	0.0
29	30	0	1.0	0.5
29	31	0	0.0	1.0
29	53	1.0	5.0	2.5
29	64	0	0.5	1.0
29	88	0	0.5	0.0
30	31	1.0	0.0	2.5
30	64	0	0.0	2.0
31	63	0	0.0	1.5
32	54	0	3.0	0.0
32	72	0	1.0	0.0
32	86	0	4.0	0.0
32	87	0	0.5	0.0
32	88	0	4.5	1.0
33	35	1.0	5.0	5.0
33	37	0	3.0	1.0
33	41	0	1.5	1.0
33	42	0	1.0	1.0
33	43	0	1.0	2.0
33	44	0	1.0	0.0
33	47	0	1.0	0.5
33	55	1.0	0.0	3.0
33	59	0	2.0	0.0
33	65	0	0.5	1.5
33	69	0	1.0	1.0
33	82	1.0	4.0	3.5
33	83	1.0	2.0	2.0
34	56	1.0	5.0	5.0
34	68	0	2.5	2.0
34	77	0	1.0	0.0
35	37	0	1.0	1.0
35	41	0	0.5	0.5
35	42	0	0.5	0.5
35	43	0	0.5	2.0
35	44	0	1.5	1.5
35	47	1.0	4.0	3.0
35	51	0	2.5	2.0
35	55	1.0	2.0	3.5
35	57	0	0.0	1.0
35	59	0	2.0	1.5
35	61	0	1.0	1.0
35	65	0	0.5	0.5
35	66	0	1.5	1.0
35	71	0	0.0	1.5
35	80	0	1.0	1.0
35	82	1.0	4.5	4.0
35	83	1.0	1.0	1.0
36	37	0	2.5	1.5
36	38	0	1.5	2.0
36	41	0	0.0	0.5
36	44	0	0.5	0.5
36	51	0	0.0	1.5
36	55	0	2.0	3.5
36	57	0	3.5	3.0
36	59	0	0.0	0.5
36	62	0	4.0	1.5
36	65	0	1.5	1.5
36	66	0	3.5	2.5
36	69	0	4.5	2.0
36	71	0	2.0	4.0
36	74	0	0.0	0.5
36	78	0	2.0	2.5
36	80	0	3.0	3.0
37	38	0	1.0	1.5
37	41	0	1.5	0.0
37	42	0	1.0	0.0
37	43	0	0.0	1.5
37	44	0	0.5	0.0
37	51	0	2.0	1.5
37	55	0	0.5	0.0
37	57	0	0.0	1.5
37	59	1.0	4.0	2.0
37	61	0	1.0	0.0
37	62	0	1.5	1.0
37	65	0	1.0	1.5
37	66	0	2.5	1.0
37	69	1.0	3.5	2.0
37	71	0	1.0	1.5
37	78	0	0.5	0.5
37	80	1.0	2.5	1.0
37	82	0	2.5	1.0
38	44	1.0	0.0	1.5
38	47	0	0.0	0.5
38	55	0	0.0	3.5
38	57	1.0	2.5	5.0
38	62	0	1.0	1.0
38	65	1.0	0.0	2.5
38	66	0	0.0	2.0
38	69	1.0	2.5	3.0
38	71	0	0.0	4.0
38	74	0	0.0	2.5
38	78	0	0.0	2.0
39	72	0	0.5	0.0
39	76	0	1.0	0.0
40	50	0	2.0	0.5
40	75	0	0.5	1.0
40	89	0	1.5	2.5
41	43	0	0.0	1.0
41	47	0	1.0	1.0
41	59	0	2.0	1.5
41	62	0	0.5	0.0
41	71	0	0.0	1.0
41	82	0	2.0	1.5
42	43	0	0.5	2.0
42	51	1.0	3.0	3.5
42	55	0	0.0	1.5
42	82	1.0	4.0	3.5
42	83	0	0.5	0.5
43	44	0	0.0	1.5
43	47	0	1.5	2.5
43	51	0	1.5	2.5
43	55	0	0.0	4.0
43	59	0	2.0	3.0
43	61	0	0.0	1.5
43	65	0	0.0	1.0
43	66	0	1.5	1.5
43	71	0	0.0	3.0
43	78	0	0.0	1.5
43	82	0	2.0	3.0
43	83	0	0.0	1.5
44	47	0	1.0	0.0
44	57	0	0.0	1.5
44	59	0	2.0	1.5
44	65	0	0.0	2.0
44	66	0	2.0	1.5
44	69	0	0.5	0.5
44	71	0	0.0	1.5
44	74	0	0.0	0.5
44	82	0	2.0	1.5
45	58	0	2.0	0.0
45	60	1.0	5.0	0.5
45	76	0	4.5	1.0
46	49	0	1.0	0.0
46	79	0	0.5	0.0
46	87	0	2.5	0.0
47	55	0	1.0	1.5
47	57	0	0.0	1.5
47	59	0	2.0	1.5
47	61	0	1.5	1.0
47	66	0	1.5	1.0
47	71	0	0.0	1.5
47	82	0	4.0	3.0
47	83	0	1.0	0.0
49	81	1.0	4.0	3.5
51	55	0	0.0	0.5
51	57	0	0.0	1.5
51	59	0	3.0	2.5
51	61	0	1.5	1.0
51	65	0	0.5	0.5
51	66	0	0.5	0.5
51	69	1.0	3.5	3.0
51	71	0	0.0	1.5
51	82	0	3.0	0.5
51	83	0	1.0	0.5
52	56	0	1.0	0.0
53	64	0	0.5	0.5
53	67	0	1.0	0.0
53	68	0	1.0	0.0
53	75	0	0.5	0.0
53	76	0	1.5	1.5
53	86	0	0.5	0.0
53	89	0	1.0	1.0
54	75	0	1.0	1.5
54	89	0	1.5	0.5
55	57	0	2.0	3.5
55	59	0	0.0	1.5
55	62	0	1.5	3.0
55	65	0	0.0	0.5
55	69	0	2.0	3.5
55	71	0	0.0	4.5
55	74	0	0.0	2.0
55	78	0	0.0	3.5
55	80	0	0.0	2.0
55	82	1.0	1.5	4.0
55	83	1.0	0.0	2.0
56	60	0	1.0	0.0
56	68	1.0	2.0	2.0
56	77	1.0	2.5	1.0
56	81	1.0	1.5	2.0
56	88	0	0.5	0.0
57	59	0	2.0	3.0
57	61	1.0	0.0	2.5
57	62	0	4.0	2.5
57	65	0	0.0	1.5
57	66	0	0.0	1.0
57	69	0	2.0	1.5
57	71	0	2.0	4.0
57	78	0	2.0	2.5
57	80	0	1.5	1.5
57	82	0	0.0	1.5
58	60	0	2.5	0.0
58	76	0	1.5	0.0
58	85	0	0.5	0.0
58	88	0	1.0	0.0
59	61	1.0	2.5	2.0
59	62	0	3.5	2.5
59	65	0	2.0	3.0
59	66	1.0	5.0	5.0
59	69	0	3.0	2.0
59	71	0	1.5	2.5
59	78	1.0	2.5	3.5
59	80	0	3.0	3.0
59	82	0	4.0	2.5
59	83	0	2.0	1.5
60	76	0	1.5	0.5
61	65	1.0	0.0	0.0
61	66	1.0	2.5	2.5
61	82	0	2.0	1.5
62	66	0	0.5	1.5
62	69	0	4.5	2.5
62	71	0	2.0	2.5
62	74	0	1.0	0.5
62	78	1.0	2.0	3.0
62	80	0	1.0	1.0
62	82	0	1.0	0.0
63	64	0	1.5	1.0
63	84	0	1.5	0.5
64	81	0	1.5	0.0
65	66	0	1.5	1.0
65	69	1.0	1.5	2.0
65	71	0	0.0	1.0
65	78	0	0.0	0.5
65	82	0	2.0	2.0
66	69	0	1.5	1.0
66	71	0	0.0	1.5
66	74	0	0.0	0.5
66	78	0	0.0	1.5
66	82	0	3.5	1.5
67	72	0	2.5	0.0
67	79	0	1.0	0.0
67	85	0	1.0	0.0
68	75	0	4.5	0.5
68	79	0	1.5	0.5
68	81	0	0.5	0.0
68	86	0	1.5	0.5
68	88	0	2.5	2.0
69	71	0	2.5	3.0
69	78	0	2.5	2.5
69	80	1.0	3.5	2.5
69	82	0	2.0	3.0
71	74	0	0.0	1.0
71	78	0	0.0	3.5
71	80	0	1.0	4.0
71	82	0	0.0	1.5
72	81	0	2.0	0.5
72	84	0	2.0	0.0
73	79	0	0.5	0.0
73	81	0	2.5	0.0
73	87	0	2.5	0.0
73	89	0	1.0	0.5
74	78	0	0.0	1.0
74	82	0	1.5	1.0
74	83	0	0.0	0.5
75	76	0	1.0	0.5
75	79	0	1.5	0.0
75	86	1.0	2.0	1.0
75	88	0	1.0	1.0
76	86	1.0	2.5	1.0
76	88	0	1.0	0.5
78	80	0	1.0	2.0
79	84	0	1.0	0.0
79	85	0	0.5	0.0
79	88	0	0.5	0.0
80	82	0	3.0	1.5
82	83	1.0	2.5	2.5
84	86	0	0.5	0.0
84	88	0	0.5	0.0
85	87	0	0.5	0.0
86	88	0	3.0	1.0
87	88	1.0	2.0	1.5
